,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1,KN,2022-07-02,49.9,-1.7,6.09,"Clement, Ernie",518934,676391,,ball,,,,,13.0,"DJ LeMahieu grounds out, shortstop Gabriel Arias to first baseman Josh Naylor.",R,R,R,CLE,NYY,B,,,2,2,2022,-0.47,1.12,-2.39,1.3,,,,2,9,Top,,,,,506702,,,-0.3966873331942049,-72.6326257068903,2.717848275794114,-1.6108231267625952,8.003952303548592,-28.68495904013994,3.55,1.7,,,,49.3,1065.0,5.5,662964,676391,506702,647304,665926,680911,672356,680700,664702,680757,55.02,,,,,,,,81,6,Knuckleball,4,13,13,4,13,4,13,4,Standard,Standard,216.0,0.0,0.033
6,KN,2022-07-02,53.9,-1.61,6.39,"Clement, Ernie",518934,676391,,ball,,,,,11.0,"DJ LeMahieu grounds out, shortstop Gabriel Arias to first baseman Josh Naylor.",R,R,R,CLE,NYY,B,,,0,0,2022,-0.76,1.25,-1.19,5.22,,,,2,9,Top,,,,,506702,,,1.5394431719479589,-78.01991197445749,6.57456723095471,-3.2995012125523484,10.679282318941535,-28.226153263479883,3.7,1.73,,,,52.1,1168.0,4.9,662964,676391,506702,647304,665926,680911,672356,680700,664702,680757,55.64,,,,,,,,81,1,Knuckleball,4,13,13,4,13,4,13,4,Standard,Standard,211.0,0.0,0.015
10,KN,2022-07-02,53.7,-1.64,6.27,"Clement, Ernie",503556,676391,,ball,,,,,11.0,"Marwin Gonzalez grounds out, third baseman Owen Miller to first baseman Josh Naylor.",R,R,R,CLE,NYY,B,,,1,0,2022,0.05,0.46,-2.61,7.88,,,,1,9,Top,,,,,506702,,,-1.4215823213899854,-76.85830146854919,11.792393937796309,0.4128250325906794,12.469655648707857,-32.580382194391326,4.0,1.7,,,,50.6,411.0,4.6,662964,676391,506702,647304,665926,680911,672356,680700,664702,680757,55.94,,,,,,,,80,2,Knuckleball,4,13,13,4,13,4,13,4,Standard,Standard,152.0,0.0,0.044
12,KN,2022-07-02,51.0,-1.67,6.47,"Clement, Ernie",624431,676391,home_run,hit_into_play,,,,,1.0,Jose Trevino homers (7) on a fly ball to left field.,R,R,R,CLE,NYY,X,,fly_ball,0,0,2022,-0.66,0.9,-0.51,2.56,,,,1,9,Top,38.54,64.93,,,506702,,,2.345994710694336,-74.12051746404917,3.7816258011005166,-2.7180585467860845,8.595961183163208,-29.513096506815685,2.92,1.34,394.0,101.1,24.0,49.6,1105.0,4.8,662964,676391,506702,647304,665926,680911,672356,680700,664702,680757,55.73,0.563,0.855,2.0,1.0,0.0,3.0,6.0,79,1,Knuckleball,4,12,12,4,13,4,13,4,Standard,Standard,209.0,0.0,1.0
17,KN,2022-07-02,46.9,-1.52,6.41,"Clement, Ernie",543305,676391,,ball,,,,,11.0,"Aaron Hicks grounds out, second baseman Andres Gimenez to first baseman Josh Naylor.",R,R,R,CLE,NYY,B,,,0,1,2022,-0.15,0.78,-0.89,4.43,,,,0,9,Top,,,,,506702,,,0.9314933886098624,-67.73610663792043,7.751091033493607,-0.549930735798899,6.895081368904827,-30.74134437307728,3.62,1.81,,,,45.3,1056.0,4.6,662964,676391,506702,647304,665926,680911,672356,680700,664702,680757,55.88,,,,,,,,77,2,Knuckleball,4,11,11,4,11,4,11,4,Standard,Standard,202.0,0.0,0.025
19,KN,2022-06-27,52.5,-1.64,6.22,"Clement, Ernie",596142,676391,grounded_into_double_play,hit_into_play,,,,,1.0,"Gary Sanchez grounds into a double play, third baseman Owen Miller to second baseman Richie Palacios to first baseman Josh Naylor.   Gio Urshela out at 2nd.    Gary Sanchez out at 1st.",R,R,R,CLE,MIN,X,5.0,ground_ball,0,0,2022,-1.07,1.34,-0.47,3.17,669304.0,,570482.0,1,9,Top,99.23,167.93,,,571912,,,2.8998210029488938,-76.10445510139095,4.117467880511912,-4.51490949479306,10.298677773685236,-27.806319103168693,3.3,1.64,5.0,56.5,-36.0,50.5,1226.0,4.5,663016,676391,571912,647304,680700,680911,665926,680757,664702,660757,55.96,0.097,0.087,0.0,1.0,0.0,0.0,1.0,69,1,Knuckleball,0,11,11,0,11,0,11,0,Standard,Standard,234.0,0.0,-0.592
21,KN,2022-06-27,55.2,-1.69,5.93,"Clement, Ernie",570482,676391,,ball,,,,,11.0,Gio Urshela singles on a sharp line drive to right fielder Oscar Gonzalez.   Mark Contreras scores.    Jose Miranda to 3rd.,R,R,R,CLE,MIN,B,,,0,1,2022,-1.76,0.55,-3.18,3.33,,676628.0,669304.0,1,9,Top,,,,,571912,,,0.0143895864768152,-79.89621226067547,5.281346551229348,-7.300036119104595,14.35198056292851,-31.144067992415174,3.65,1.81,,,,52.4,90.0,4.5,663016,676391,571912,647304,680700,680911,665926,680757,664702,660757,55.99,,,,,,,,68,2,Knuckleball,0,10,10,0,10,0,10,0,Standard,Standard,342.0,0.0,0.055
34,KN,2022-06-27,50.2,-1.93,5.58,"Clement, Ernie",676628,676391,,blocked_ball,,,,,13.0,Mark Contreras singles on a ground ball to left fielder Steven Kwan.   Gilberto Celestino to 2nd.,R,L,R,CLE,MIN,B,,,2,2,2022,0.21,-0.66,-1.96,0.76,,,665482.0,0,9,Top,,,,,571912,,,-0.2842593529410024,-72.478502377281,5.370313131865677,0.7529151929757233,13.607667423226491,-35.748255703999895,3.48,1.61,,,,47.1,2841.0,4.6,663016,676391,571912,647304,680700,680911,665926,680757,664702,660757,55.91,,,,,,,,65,5,Knuckleball,0,9,9,0,9,0,9,0,Infield shift,Standard,92.0,0.0,0.146
36,KN,2022-06-27,50.3,-1.9,5.75,"Clement, Ernie",676628,676391,,ball,,,,,11.0,Mark Contreras singles on a ground ball to left fielder Steven Kwan.   Gilberto Celestino to 2nd.,R,L,R,CLE,MIN,B,,,1,1,2022,0.19,0.42,-2.62,4.12,,,665482.0,0,9,Top,,,,,571912,,,-1.1825876925252896,-72.44167320127777,8.12904072722119,0.851799659236153,11.77955130985562,-32.35782188444549,3.48,1.61,,,,47.5,275.0,4.5,663016,676391,571912,647304,680700,680911,665926,680757,664702,660757,56.01,,,,,,,,65,3,Knuckleball,0,9,9,0,9,0,9,0,Infield shift,Standard,213.0,0.0,0.096
39,KN,2022-06-27,61.0,-1.66,5.65,"Clement, Ernie",665482,676391,single,hit_into_play,,,,,14.0,Gilberto Celestino singles on a ground ball to second baseman Richie Palacios.,R,R,R,CLE,MIN,X,4.0,ground_ball,0,2,2022,-0.63,-0.1,0.84,1.54,,,,0,9,Top,152.72,154.7,,,571912,,,4.9537746074179845,-88.58403277888797,2.1170729419039445,-4.101253495973606,14.788408844078043,-33.31560924480785,3.54,1.7,5.0,96.2,-14.0,58.9,292.0,4.8,663016,676391,571912,647304,680700,680911,665926,680757,664702,660757,55.72,0.186,0.167,0.9,1.0,1.0,0.0,2.0,64,3,Knuckleball,0,9,9,0,9,0,9,0,Standard,Standard,238.0,0.0,0.475
