,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1271,PO,2022-07-01,90.7,-1.77,5.5,"Gray, Josiah",621563,680686,,pitchout,,,,,11.0,Joey Wendle singles on a line drive to left fielder Lane Thomas.   Jon Berti scores.,R,L,R,WSH,MIA,B,,,0,0,2022,-0.46,1.18,-3.56,5.69,,,542932.0,2,3,Top,,,,,660688,,,-3.446201039371823,-132.0302734114227,3.830689786875629,-4.612592785713698,29.22875112446458,-19.538519037825655,3.33,1.6,,,,89.3,2066.0,5.5,662492,680686,660688,605137,514917,596748,671277,657041,645302,665742,55.02,,,,,,,,18,1,Pitch Out,0,1,1,0,1,0,1,0,Standard,Standard,212.0,0.0,
1130,PO,2022-06-10,92.9,-0.96,5.97,"Contreras, Roansy",621020,672710,,pitchout,,,,,12.0,Dansby Swanson singles on a ground ball to center fielder Bryan Reynolds.   Michael Harris II to 3rd.,R,R,R,ATL,PIT,B,,,0,0,2022,-0.46,1.59,2.52,3.91,,,671739.0,1,5,Bot,,,,,605421,,,9.886350388743896,-134.98077014477414,-2.964165675028967,-7.792794407053726,28.826620519564884,-12.252641314502588,3.49,1.68,,,,92.6,2403.0,6.1,661513,672710,605421,656308,672779,663647,660636,680552,668804,668751,54.36,,,,,,,,38,1,Pitch Out,3,0,3,0,0,3,3,0,Standard,Standard,206.0,0.0,
194,PO,2022-09-01,91.0,-2.81,5.73,"Ort, Kaleb",608369,672391,,pitchout,,,,,11.0,Corey Seager strikes out swinging.,R,L,R,BOS,TEX,B,,,0,1,2022,-0.89,1.78,-1.97,4.78,,,669352.0,1,6,Top,,,,,608700,,,3.972784928529272,-132.53003737609498,-0.2893627686419849,-11.354859031679863,30.06642659761284,-11.420545039612858,3.4,1.46,,,,90.2,2239.0,5.9,663210,672391,608700,614173,624414,646240,593428,502054,608701,657077,54.59,,,,,,,,48,2,Pitch Out,2,4,4,2,4,2,4,2,Infield shift,Standard,211.0,0.0,
69,PO,2022-09-23,90.0,-0.95,6.3,"Lambert, Jimmy",681481,669424,,pitchout,,,,,11.0,Kerry Carpenter pops out to second baseman Josh Harrison in foul territory.,R,L,R,CWS,DET,B,,,0,1,2022,-0.28,1.51,-1.77,3.77,,,650489.0,0,8,Top,,,,,518735,,,-1.4145765770161816,-131.14980432352132,-3.4758726724525086,-2.9532676889413163,27.7402945637072,-14.1670644231113,3.2,1.56,,,,88.6,2053.0,5.3,661431,669424,518735,547989,543281,660162,462101,572041,641553,683734,55.16,,,,,,,,61,2,Pitch Out,3,4,4,3,4,3,4,3,Infield shift,Standard,206.0,-0.03,
235,PO,2022-06-03,88.4,-2.02,6.12,"Nogosek, Stephen",669257,668665,,pitchout,,,,,12.0,Will Smith strikes out on a foul tip.,R,R,R,LAD,NYM,B,,,0,1,2022,-0.55,1.54,2.13,4.56,,,607208.0,2,7,Bot,,,,,621512,,,11.245072028385602,-128.2636712991409,-0.8901976779609009,-8.455811128442235,26.70705504659506,-15.21558802644665,3.28,1.54,,,,88.2,2115.0,6.4,662720,668665,621512,624413,643446,500871,596019,592192,607043,516782,54.14,,,,,,,,56,2,Pitch Out,5,1,5,1,1,5,5,1,Infield shift,Standard,206.0,0.0,
563,PO,2022-05-06,89.9,-3.32,5.1,"Lawrence, Justin",606466,664875,,pitchout,,,,,11.0,Ketel Marte walks.   Josh Rojas to 2nd.,R,L,R,AZ,COL,B,,,0,2,2022,-1.11,0.95,-3.54,3.1,,,668942.0,2,8,Bot,,,,,553869,,,1.7851176380855196,-130.80619648319717,-0.8963964440405185,-13.066895503768688,32.44294427284805,-21.41859084264742,3.63,1.77,,,,87.8,2179.0,5.4,663360,664875,553869,543068,663898,641857,578428,656582,656541,545341,55.14,,,,,,,,63,3,Pitch Out,4,1,4,1,1,4,4,1,Standard,Standard,249.0,0.0,
237,PO,2022-08-27,90.3,-1.47,5.46,"Maton, Phil",656775,664208,,pitchout,,,,,11.0,Cedric Mullins called out on strikes.,R,L,R,HOU,BAL,B,,,0,0,2022,-0.11,1.44,-1.97,3.94,,,622761.0,1,7,Top,,,,,543877,,,-1.0144722419274796,-131.55230936319208,-0.9049600645102917,-1.0925416030576949,28.99443110976854,-15.524013615604847,3.38,1.57,,,,90.9,2411.0,6.7,661090,664208,543877,493329,514888,608324,682073,641820,643289,663656,53.83,,,,,,,,46,1,Pitch Out,0,3,3,0,3,0,3,0,Infield shift,Standard,198.0,0.0,
773,PO,2022-05-19,93.4,-2.23,5.71,"Stephan, Trevor",670770,663986,,pitchout,,,,,11.0,TJ Friedl out on a sacrifice fly to left fielder Richie Palacios.   Kyle Farmer scores.,R,L,R,CLE,CIN,B,,,0,0,2022,-0.91,0.73,-3.84,4.0,571657.0,,,1,8,Top,,,,,595978,,,-2.1226029977647447,-136.05642466445858,-0.3144473662447175,-10.895888516901357,28.352404137012865,-23.15127914004725,3.22,1.51,,,,93.3,2294.0,6.1,663043,663986,595978,680911,665926,608070,642708,680700,664702,680757,54.44,,,,,,,,54,1,Pitch Out,1,3,3,1,3,1,3,1,Strategic,Standard,224.0,0.0,
814,PO,2022-08-02,93.3,-1.85,6.09,"Rasmussen, Drew",606132,656876,,pitchout,,,,,11.0,"Raimel Tapia grounds out, second baseman Brandon Lowe to first baseman Ji-Man Choi.",R,L,R,TB,TOR,B,,,0,0,2022,-0.21,1.6,-1.34,4.63,,,656305.0,1,4,Top,,,,,542194,,,1.7503100991867395,-135.91761391042544,-1.4974068974514538,-2.935402276701262,31.239637895998225,-12.339753480929906,3.52,1.74,,,,93.6,2324.0,6.5,661868,656876,542194,596847,664040,670623,670764,444482,642350,670042,54.0,,,,,,,,28,1,Pitch Out,0,1,1,0,1,0,1,0,Standard,Standard,201.0,0.041,
1028,PO,2022-06-24,94.4,-2.36,5.89,"Kopech, Michael",656775,656629,,pitchout,,,,,11.0,Cedric Mullins flies out to right fielder Gavin Sheets.,R,L,R,CWS,BAL,B,,,1,0,2022,-0.75,1.42,-2.02,2.53,,,621006.0,2,2,Top,,,,,624512,,,2.5676299297072718,-137.3713949970394,-6.251936004411393,-10.098070333944651,29.332834092188552,-13.033550651932863,3.3,1.51,,,,94.9,2534.0,6.5,661455,656629,624512,547989,544725,669394,641313,572041,673357,657757,54.01,,,,,,,,13,2,Pitch Out,0,2,2,0,2,0,2,0,Infield shift,Standard,214.0,-0.008,
