,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
1411,CS,2022-07-06,67.9,-1.82,6.6,"Ohtani, Shohei",660821,660271,,ball,,,,,12.0,Jesus Sanchez strikes out swinging.,R,L,R,MIA,LAA,B,,,0,0,2022,1.11,-1.25,0.78,4.49,,,,1,4,Bot,,,,,545358,,,3.0586017188910537,-98.36441010846052,6.1332889775697,6.463189129226178,19.13498877312905,-41.60719670584391,3.02,1.32,,,,66.5,2285.0,5.9,661378,660271,545358,665120,683021,542340,650859,656509,545361,621493,54.56,,,,,,,,29,1,Slow Curve,1,0,1,0,0,1,1,0,Standard,Standard,29.0,0.0,0.023
43,CS,2022-08-04,75.6,-3.15,5.87,"Duffey, Tyler",624415,608648,,ball,,,,,11.0,Cavan Biggio singles on a pop up to third baseman Jose Miranda.   Lourdes Gurriel Jr.  to 3rd.    Whit Merrifield to 2nd.,R,L,R,MIN,TOR,B,,,0,0,2022,1.14,-0.57,-1.09,2.86,,666971.0,593160.0,1,8,Top,,,,,596142,,,2.2594739731566293,-110.07306977254753,1.8163574079350469,8.873483525727801,19.29061227492512,-37.38322630546601,3.46,1.65,,,,75.1,2358.0,5.9,661660,608648,596142,650333,593871,669304,621043,624503,665482,595909,54.6,,,,,,,,64,1,Slow Curve,2,4,4,2,4,2,4,2,Infield shift,Standard,43.0,0.0,0.063
44,CS,2022-08-02,72.5,-2.83,5.73,"Duffey, Tyler",650489,608648,field_out,hit_into_play,,,,,7.0,Willi Castro flies out to center fielder Nick Gordon.,R,L,R,MIN,DET,X,8.0,fly_ball,0,0,2022,1.19,-0.71,-0.58,1.77,,,,2,8,Top,154.5,64.21,,,596142,,,2.457112926350699,-105.59784258139996,0.6563020563133797,8.530177665662233,17.345041080444656,-37.81364433250592,3.52,1.65,341.0,89.0,30.0,72.5,2217.0,6.2,661661,608648,596142,669304,650333,570482,621043,595909,624503,676628,54.31,0.06,0.072,0.0,1.0,0.0,0.0,3.0,64,1,Slow Curve,3,5,5,3,5,3,5,3,Strategic,Standard,41.0,0.006,-0.099
49,CS,2022-08-02,69.1,-2.86,5.86,"Duffey, Tyler",600869,608648,,swinging_strike,,,,,14.0,"Jeimer Candelario grounds out, second baseman Luis Arraez to first baseman Jose Miranda.",R,L,R,MIN,DET,S,,,0,1,2022,1.0,-0.6,0.33,1.22,,,,0,8,Top,,,,,596142,,,4.435082123805061,-100.50577992601556,-0.0659867485601262,6.067943143822878,16.39465662180638,-36.472839541394606,3.3,1.61,,,,69.1,1952.0,6.3,661661,608648,596142,669304,650333,570482,621043,595909,624503,676628,54.2,,,,,,,,62,2,Slow Curve,3,5,5,3,5,3,5,3,Infield shift,Standard,39.0,0.0,-0.046
50,CS,2022-08-02,75.1,-2.8,5.89,"Duffey, Tyler",600869,608648,,swinging_strike,,,,,7.0,"Jeimer Candelario grounds out, second baseman Luis Arraez to first baseman Jose Miranda.",R,L,R,MIN,DET,S,,,0,0,2022,0.99,-0.57,-0.69,2.1,,,,0,8,Top,,,,,596142,,,2.623565716409244,-109.48208352005526,0.2337624163309493,7.562683709069451,17.79854397078642,-37.02271964563144,3.3,1.61,,,,75.2,2194.0,6.1,661661,608648,596142,669304,650333,570482,621043,595909,624503,676628,54.39,,,,,,,,62,1,Slow Curve,3,5,5,3,5,3,5,3,Infield shift,Standard,44.0,0.0,-0.034
64,CS,2022-07-30,73.7,-3.23,5.76,"Duffey, Tyler",682928,608648,,called_strike,,,,,8.0,C.J. Abrams hit by pitch.    Ha-Seong Kim to 2nd.,R,L,R,SD,MIN,S,,,0,0,2022,1.02,-0.96,-0.27,1.91,,,673490.0,1,9,Bot,,,,,596142,,,4.222318681151943,-107.16420990576266,1.2912006361536077,6.891506001542381,21.95161501691104,-40.01554546219137,3.54,1.69,,,,73.1,2336.0,6.3,662196,608648,596142,650333,593871,669304,621043,624503,621439,665482,54.17,,,,,,,,74,1,Slow Curve,1,7,1,7,7,1,1,7,Standard,Standard,33.0,0.0,-0.048
179,CS,2022-07-09,73.6,-2.81,5.91,"Duffey, Tyler",641680,608648,,ball,,,,,14.0,Jonah Heim singles on a line drive to left fielder Nick Gordon.,R,L,R,TEX,MIN,B,,,0,0,2022,0.96,-1.3,0.32,1.33,,,,0,5,Bot,,,,,596142,,,4.653723141302216,-106.92379270848902,0.4376045051800374,6.295247033748704,22.459225750417783,-42.31268920704328,3.3,1.5,,,,72.6,2399.0,6.1,661842,608648,596142,669304,593871,570482,621043,624503,665482,664247,54.36,,,,,,,,47,1,Slow Curve,7,6,7,6,6,7,7,6,Infield shift,Standard,40.0,0.0,0.033
213,CS,2022-06-30,74.4,-3.04,5.7,"Duffey, Tyler",647304,608648,,swinging_strike,,,,,14.0,Josh Naylor strikes out swinging.,R,L,R,CLE,MIN,S,,,1,1,2022,1.07,-1.14,0.02,0.6,,,,2,7,Bot,,,,,596142,,,4.4165015911941055,-108.21202883633354,-1.1329622528299623,7.47870378487822,21.10623337173333,-41.058915709603625,3.16,1.51,,,,74.2,2301.0,6.4,662983,608648,596142,669304,650333,570482,621043,666135,665482,596146,54.07,,,,,,,,59,3,Slow Curve,1,3,1,3,3,1,1,3,Infield shift,Standard,42.0,0.0,-0.023
221,CS,2022-06-30,75.4,-2.97,5.75,"Duffey, Tyler",608070,608648,,called_strike,,,,,7.0,Jose Ramirez strikes out swinging.,R,L,R,CLE,MIN,S,,,0,0,2022,1.05,-1.09,-0.4,1.58,,,,1,7,Bot,,,,,596142,,,3.4737843364490693,-109.76251908929568,0.4778221931828936,7.705395803045854,21.71718842595593,-41.21676462832716,3.41,1.54,,,,75.1,2413.0,6.3,662983,608648,596142,669304,650333,570482,621043,666135,665482,596146,54.22,,,,,,,,58,1,Slow Curve,1,3,1,3,3,1,1,3,Infield shift,Standard,48.0,0.0,-0.024
478,CS,2022-05-26,74.6,-2.17,5.67,"Duffey, Tyler",467793,608648,,ball,,,,,14.0,"Carlos Santana grounds out, first baseman Jose Miranda to pitcher Tyler Duffey.",R,L,R,MIN,KC,B,,,0,0,2022,0.79,-1.03,0.15,1.07,,,,0,8,Top,,,,,596142,,,3.389000658550371,-108.5945947965413,-0.4183968264009607,5.566230654120724,19.96840782366012,-40.48048941180509,3.36,1.54,,,,74.5,2210.0,6.3,661771,608648,596142,669304,650333,570482,621043,663616,621439,596146,54.21,,,,,,,,54,1,Slow Curve,2,0,0,2,0,2,0,2,Infield shift,Standard,43.0,0.0,0.033
