,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
0,SV,2022-07-24,78.0,-2.19,5.18,"McKay, David",518586,641853,strikeout,swinging_strike,,,,,9.0,Charlie Culberson strikes out swinging.,R,R,R,OAK,TEX,S,2.0,,2,2,2022,1.17,-0.58,0.76,1.73,,,,2,7,Top,,,,,519390,,,4.21454445624127,-113.34864445676216,0.7123486551932996,9.005400995247946,24.595934035386403,-37.53768210984892,3.4,1.59,,,,78.1,2818.0,6.9,662343,641853,519390,660650,643393,641914,669397,640461,621450,572039,53.63,,,0.0,1.0,0.0,0.0,,64,5,Slurve,1,11,11,1,11,1,11,1,Standard,Standard,54.0,0.0,-0.083
1,SV,2022-07-24,77.6,-2.22,5.23,"McKay, David",518586,641853,,swinging_strike,,,,,5.0,Charlie Culberson strikes out swinging.,R,R,R,OAK,TEX,S,,,2,1,2022,1.59,-0.28,-0.04,2.77,,,,2,7,Top,,,,,519390,,,1.7408253517747512,-112.81015786368864,2.410723375647657,12.928478555818565,26.039545688932677,-35.383030087398886,3.4,1.59,,,,77.3,2773.0,6.8,662343,641853,519390,660650,643393,641914,669397,640461,621450,572039,53.75,,,,,,,,64,4,Slurve,1,11,11,1,11,1,11,1,Standard,Standard,62.0,0.0,-0.031
11,SV,2022-07-24,76.1,-2.26,5.16,"McKay, David",669701,641853,,ball,,,,,14.0,Josh H.   Smith flies out to center fielder Skye Bolt.,R,L,R,OAK,TEX,B,,,0,1,2022,1.19,-0.93,0.22,0.55,,,,0,7,Top,,,,,519390,,,3.0899146368238206,-110.85044759436084,-0.8980027624171075,9.197259803886553,21.082493664181843,-39.89469751543253,3.11,1.36,,,,76.4,2655.0,6.6,662343,641853,519390,660650,643393,641914,669397,640461,621450,572039,53.88,,,,,,,,62,2,Slurve,1,11,11,1,11,1,11,1,Strategic,Standard,61.0,0.0,0.025
17,SV,2022-07-24,78.9,-2.16,5.24,"McKay, David",594777,641853,strikeout,called_strike,,,,,11.0,Kole Calhoun called out on strikes.,R,L,R,OAK,TEX,S,2.0,,3,2,2022,1.1,-0.54,-0.78,3.36,666969.0,665750.0,,1,6,Top,,,,,519390,,,0.9767119718162224,-114.77974988055978,3.826962826820522,9.447530454543427,22.610465554538184,-37.93648860481018,3.03,1.42,,,,79.5,2770.0,6.9,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.6,,,0.0,1.0,0.0,0.0,,55,7,Slurve,1,11,11,1,11,1,11,1,Infield shift,Standard,59.0,0.001,-0.68
22,SV,2022-07-24,78.6,-2.27,5.17,"McKay, David",594777,641853,,foul,,,,,9.0,Kole Calhoun called out on strikes.,R,L,R,OAK,TEX,S,,,1,0,2022,1.21,-0.23,0.5,1.87,666969.0,665750.0,,1,6,Top,,,,,519390,,,3.775053514593016,-114.29551622070554,0.2098116771547626,9.749684047291286,23.634354986074936,-34.5002057208413,3.07,1.53,5.0,80.3,-19.0,78.8,2635.0,6.7,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.75,,,,,,,,55,2,Slurve,1,11,11,1,11,1,11,1,Infield shift,Standard,57.0,0.0,-0.077
24,SV,2022-07-24,78.1,-2.25,5.19,"McKay, David",665750,641853,double,hit_into_play,,,,,8.0,Leody Taveras doubles (11) on a fly ball to right fielder Stephen Piscotty.   Adolis Garcia to 3rd.,R,L,R,OAK,TEX,X,9.0,fly_ball,2,2,2022,1.19,-0.39,-0.12,1.75,,,666969.0,1,6,Top,212.64,80.9,,,519390,,,2.4305887262039376,-113.74645232182462,0.2421093614822116,9.76998034270604,22.36828976111523,-35.838368835634164,3.66,1.8,359.0,98.6,25.0,78.7,2756.0,6.8,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.66,0.477,0.725,1.25,1.0,1.0,1.0,6.0,54,6,Slurve,1,11,11,1,11,1,11,1,Strategic,Standard,61.0,-0.001,0.935
25,SV,2022-07-24,77.5,-2.28,5.18,"McKay, David",665750,641853,,foul,,,,,7.0,Leody Taveras doubles (11) on a fly ball to right fielder Stephen Piscotty.   Adolis Garcia to 3rd.,R,L,R,OAK,TEX,S,,,2,2,2022,1.12,-0.88,-0.64,2.18,,,666969.0,1,6,Top,,,,,519390,,,1.4489960675815727,-112.75867213927512,2.2215128374146285,9.248890221336351,22.22150555594953,-40.34602345241108,3.66,1.8,161.0,63.2,38.0,77.7,2720.0,6.6,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.88,,,,,,,,54,5,Slurve,1,11,11,1,11,1,11,1,Strategic,Standard,62.0,0.0,0.0
26,SV,2022-07-24,77.3,-2.2,5.17,"McKay, David",665750,641853,,swinging_strike,,,,,14.0,Leody Taveras doubles (11) on a fly ball to right fielder Stephen Piscotty.   Adolis Garcia to 3rd.,R,L,R,OAK,TEX,S,,,2,1,2022,1.18,-0.76,1.21,1.45,,,666969.0,1,6,Top,,,,,519390,,,5.138531739501727,-112.42833321332924,0.4474143671465669,9.045313605291108,20.78310708779216,-38.93984197370555,3.66,1.8,,,,77.9,2647.0,6.8,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.73,,,,,,,,54,4,Slurve,1,11,11,1,11,1,11,1,Strategic,Standard,53.0,0.0,-0.086
29,SV,2022-07-24,78.7,-2.21,5.3,"McKay, David",665750,641853,,called_strike,,,,,7.0,Leody Taveras doubles (11) on a fly ball to right fielder Stephen Piscotty.   Adolis Garcia to 3rd.,R,L,R,OAK,TEX,S,,,0,0,2022,0.84,-0.65,-0.54,2.25,,,666969.0,1,6,Top,,,,,519390,,,2.082187815095697,-114.68284026296637,1.375169966406218,7.040691169257676,20.0308016838712,-38.37632537310504,3.72,1.65,,,,79.6,2550.0,6.7,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.81,,,,,,,,54,1,Slurve,1,11,11,1,11,1,11,1,Strategic,Standard,53.0,0.0,-0.048
32,SV,2022-07-24,78.1,-2.28,5.2,"McKay, David",641680,641853,double,hit_into_play,,,,,14.0,Jonah Heim doubles (14) on a line drive to right fielder Stephen Piscotty.,R,L,R,OAK,TEX,X,9.0,line_drive,0,2,2022,1.04,-0.54,0.25,1.16,,,,1,6,Top,210.02,121.47,,,519390,,,3.566448193224,-113.72582742749996,-0.8247844301389443,8.351064357847328,20.563799423441477,-36.918143913781904,3.44,1.6,201.0,98.4,12.0,78.6,2610.0,6.6,662343,641853,519390,660650,669397,641914,462101,640461,657656,572039,53.9,0.906,0.873,1.25,1.0,1.0,1.0,4.0,52,3,Slurve,1,10,10,1,10,1,10,1,Infield shift,Standard,58.0,-0.001,0.476
